BTCUSDT|orderflow|long|INITIAL_SL|us_main|na|43|0.000|-1.100|-236.4011|3.96|0.01|0.70|2652928
ETHUSDT|cryptoorderflow|long|INITIAL_SL|us_main|na|65|0.000|-1.139|-214.5423|4.40|0.05|1.46|1308070
BTCUSDT|orderflow|long|INITIAL_SL|european|na|39|0.000|-1.100|-214.4103|3.97|0.01|1.48|3301943
ETHUSDT|cryptoorderflow|long|INITIAL_SL|european|na|63|0.000|-1.094|-187.7901|3.87|0.05|1.32|1460864
BTCUSDT|orderflow|long|TIMEOUT|european|na|214|0.220|-0.171|-182.4794|3.14|0.01|0.87|3537056
ETHUSDT|orderflow|long|TIMEOUT|european|na|188|0.165|-0.186|-174.6770|3.28|0.05|1.23|3598993
BTCUSDT|cryptoorderflow|long|INITIAL_SL|us_main|na|44|0.000|-1.193|-143.8553|5.22|0.01|0.82|1305113
BTCUSDT|cryptoorderflow|short|TIMEOUT|european|na|96|0.208|-0.295|-132.8786|3.43|0.01|0.89|3521821
ETHUSDT|orderflow|short|INITIAL_SL|european|na|22|0.000|-1.100|-121.0506|3.03|0.05|1.19|2048622
ETHUSDT|cryptoorderflow|short|INITIAL_SL|european|na|50|0.000|-0.504|-117.6159|3.12|0.05|1.19|1722786
ETHUSDT|orderflow|long|TIMEOUT|asian|na|100|0.210|-0.240|-116.7250|3.05|0.05|1.40|3613414
ETHUSDT|orderflow|long|TIMEOUT|us_main|na|94|0.117|-0.248|-115.6231|3.22|0.05|1.46|3595680
ETHUSDT|cryptoorderflow|long|TIMEOUT|european|na|144|0.236|-0.178|-111.7616|3.40|0.05|1.46|3559179
ETHUSDT|orderflow|long|INITIAL_SL|european|na|20|0.000|-1.100|-109.9540|4.21|0.05|1.48|3088335
BTCUSDT|cryptoorderflow|long|INITIAL_SL|european|na|43|0.000|-1.187|-107.8694|3.62|0.01|0.86|2113097
ETHUSDT|orderflow|long|TIMEOUT|overnight|na|106|0.330|-0.197|-104.3344|3.57|0.05|1.01|3514864
ETHUSDT|cryptoorderflow|short|INITIAL_SL|unknown|na|25|0.000|-0.970|-99.4882|12.90|||1564670
ETHUSDT|cryptoorderflow|long|TIMEOUT|overnight|na|117|0.333|-0.171|-92.1595|3.76|0.05|1.29|3084002
ETHUSDT|orderflow|short|TIMEOUT|overnight|na|124|0.347|-0.148|-92.0392|3.00|0.05|1.07|3424665
ETHUSDT|cryptoorderflow|long|INITIAL_SL|asian|na|36|0.000|-1.199|-74.8535|3.36|0.05|1.57|1293736
ETHUSDT|orderflow|short|INITIAL_SL|overnight|na|13|0.000|-1.100|-71.5299|2.90|0.05|0.95|2168002
ETHUSDT|orderflow|short|TIMEOUT|european|na|158|0.316|-0.090|-71.0502|3.02|0.05|1.21|3599613
ETHUSDT|cryptoorderflow|long|TIMEOUT|asian|na|95|0.326|-0.169|-70.9561|3.23|0.05|1.48|3614059
ETHUSDT|cryptoorderflow|long|TIMEOUT|us_main|na|66|0.242|-0.222|-66.1126|3.19|0.05|1.44|3593617
1000PEPEUSDT|cryptoorderflow|short|INITIAL_SL|unknown|na|13|0.000|-1.016|-66.0276|29.94|||1745231
